"","pct_vu","date","pct_cse"
"160",0.747859,2021-10-26,0.764466
"161",0.752003,2021-10-27,0.72259
"162",0.733619,2021-10-28,0.76521
"163",0.719271,2021-10-29,0.730376
"164",0.73582,2021-10-30,0.77681
"165",0.769567,2021-10-31,0.763907
"166",0.724435,2021-11-01,0.757676
"167",0.730948,2021-11-02,0.783983
"168",0.740508,2021-11-03,0.773077
"169",0.749424,2021-11-04,0.800949
"170",0.73924,2021-11-05,0.708677
"171",0.795737,2021-11-06,0.767127
"172",0.767241,2021-11-07,0.756458
"173",0.750298,2021-11-08,0.739214
"174",0.758893,2021-11-09,0.733408
"175",0.737945,2021-11-10,0.732732
"176",0.727106,2021-11-11,0.784848
"177",0.736532,2021-11-12,0.791155
"178",0.734708,2021-11-13,0.728187
"179",0.756183,2021-11-14,0.841719
"180",0.726649,2021-11-15,0.788313
"181",0.731831,2021-11-16,0.741645
"182",0.754071,2021-11-17,0.796519
"183",0.721778,2021-11-18,0.804145
"184",0.735443,2021-11-19,0.782567
"185",0.743101,2021-11-20,0.827616
"186",0.714891,2021-11-21,0.787929
"187",0.753817,2021-11-22,0.721183
"188",0.738678,2021-11-23,0.752638
"189",0.768024,2021-11-24,0.744333
"190",0.723076,2021-11-25,0.789605
"191",0.771335,2021-11-26,0.782085
"192",0.755043,2021-11-27,0.793322
"193",0.750926,2021-11-28,0.777779
"194",0.735119,2021-11-29,0.795162
"195",0.737925,2021-11-30,0.723321
"196",0.721567,2021-12-01,0.792652
"197",0.741285,2021-12-02,0.763062
"198",0.768074,2021-12-03,0.727932
"199",0.716494,2021-12-04,0.759356
"200",0.715987,2021-12-05,0.762084
"201",0.747432,2021-12-06,0.767808
"202",0.746798,2021-12-07,0.833486
"203",0.700047,2021-12-08,0.75132
"204",0.750237,2021-12-09,0.722696
"205",0.768957,2021-12-10,0.82831
"206",0.723013,2021-12-11,0.715721
"207",0.741086,2021-12-12,0.746433
"208",0.766986,2021-12-13,0.777534
"209",0.740665,2021-12-14,0.765412
"210",0.753889,2021-12-15,0.794306
"211",0.742883,2021-12-16,0.805704
"212",0.765983,2021-12-18,0.698175
"213",0.751011,2021-12-19,0.764826
"214",0.725622,2021-12-20,0.730312
"215",0.720636,2021-12-21,0.663439
"216",0.696793,2021-12-22,0.791683
"217",0.76394,2021-12-23,0.710334
"218",0.722253,2021-12-24,0.806693
"219",0.757143,2021-12-25,0.734162
"220",0.776968,2021-12-26,0.690694
"221",0.73845,2021-12-27,0.741935
"222",0.768748,2021-12-28,0.675095
"223",0.743242,2021-12-29,0.797873
"224",0.774633,2021-12-30,0.685165
"225",0.75379,2021-12-31,0.801026
